	symbol	available_exchanges	currency_base	currency_quote
97	AGVC/BTC	['SouthXchange']	AgaveCoin	Bitcoin
98	AGVC/USD	['Synthetic']	AgaveCoin	US Dollar
99	AIB/USD	['Synthetic']	Advanced Internet Blocks	US Dollar
100	AIDOC/BTC	['Huobi']	AI Doctor	Bitcoin
101	AIDOC/ETH	['Huobi']	AI Doctor	Ethereum
102	AIDOC/USD	['Synthetic']	AI Doctor	US Dollar
103	Aidos Kuneen/USD	['Kraken']	Aidos Kuneen	US Dollar
104	AION/BTC	['Binance', 'Bitrue']	Aion	Bitcoin
105	AION/ETH	['Binance', 'Kucoin']	Aion	Ethereum
106	AION/USD	['Binance', 'Synthetic']	Aion	US Dollar
107	AIR/USD	['Synthetic']	AirToken	US Dollar
108	AI/USD	['Synthetic']	POLY AI	US Dollar
109	AIX/BNT	['Bancor Network']	Aigang	Bancor
110	AIX/USD	['Synthetic']	Aigang	US Dollar
111	AKT/BTC	['Bittrex']	Akash Network	Bitcoin
112	AKT/ETH	['Gate.io']	Akash Network	Ethereum
113	AKT/USD	['Bittrex', 'Gate.io']	Akash Network	US Dollar
114	AKY/USD	['Synthetic']	Akuya Coin	US Dollar
115	ALGO/BTC	['Binance', 'Kraken']	Algorand	Bitcoin
116	ALGO/ETH	['Bibox']	Algorand	Ethereum
117	ALGO/INR	['Bitbns']	Algorand	Indian Rupee
118	ALGO/USD	['Binance', 'Hotbit']	Algorand	US Dollar
119	ALICE/BTC	['Binance']	MyNeighborAlice	Bitcoin
120	ALICE/EUR	['Synthetic']	MyNeighborAlice	Euro
121	ALICE/USD	['Binance']	MyNeighborAlice	US Dollar
122	ALIS/USD	['Synthetic']	ALIS	US Dollar
123	ALPHA/BTC	['Binance']	Alpha Finance Lab	Bitcoin
124	ALPHA/USD	['Binance', 'FTX']	Alpha Finance Lab	US Dollar
125	ALPINE/BTC	['Binance']	Alpine F1 Team Fan Token	Bitcoin
126	ALPINE/EUR	['Binance']	Alpine F1 Team Fan Token	Euro
127	ALPINE/TRY	['Binance']	Alpine F1 Team Fan Token	Turkish Lira
128	ALPINE/USD	['Binance']	Alpine F1 Team Fan Token	US Dollar
129	ALQO/USD	['Synthetic']	ALQO	US Dollar
130	ALTCOM/BTC	['YoBit']	AltCommunity Coin	Bitcoin
131	ALTCOM/USD	['Synthetic']	AltCommunity Coin	US Dollar
