	symbol	available_exchanges	currency_base	currency_quote
976	DEEX/BTC	['BTC-Alpha']	DEEX	Bitcoin
977	DEEX/USD	['BTC-Alpha']	DEEX	US Dollar
978	DEGEN/USD	['Bybit']	Degen	US Dollar
979	DEM/BTC	['YoBit']	Deutsche eMark	Bitcoin
980	DEM/USD	['Synthetic']	Deutsche eMark	US Dollar
981	DENT/BTC	['Kucoin', 'Upbit']	Dent	Bitcoin
982	DENT/ETH	['Binance', 'Kucoin']	Dent	Ethereum
983	DENT/INR	['Bitbns']	Dent	Indian Rupee
984	DENT/USD	['Binance', 'HitBTC']	Dent	US Dollar
985	DERO/BTC	['TradeOgre']	Dero	Bitcoin
986	DERO/USD	['Synthetic']	Dero	US Dollar
987	DES/BTC	['YoBit']	Destiny	Bitcoin
988	DES/USD	['Synthetic']	Destiny	US Dollar
989	DEUS/USD	['Synthetic']	DeusCoin	US Dollar
990	DFT/BTC	['YoBit']	DraftCoin	Bitcoin
991	DFT/USD	['YoBit']	DraftCoin	US Dollar
992	DGB/AUD	['Synthetic']	DigiByte	Australian Dollar
993	DGB/BCH	['CoinEx']	DigiByte	Bitcoin Cash
994	DGB/BRL	['NovaDAX']	DigiByte	Brazil Real
995	DGB/BTC	['Bittrex', 'HitBTC', 'OKEx']	DigiByte	Bitcoin
996	DGB/ETH	['Bittrex', 'HitBTC', 'Kucoin']	DigiByte	Ethereum
997	DGB/TRY	['Bitci.com']	DigiByte	Turkish Lira
998	DGB/USD	['Bittrex', 'OKEx']	DigiByte	US Dollar
999	DGC/BTC	['FreiExchange']	Digitalcoin	Bitcoin
1000	DGCS/USD	['Synthetic']	Digital Credits	US Dollar
1001	DGC/USD	['Synthetic']	Digitalcoin	US Dollar
1002	DGD/BTC	['Bitrue', 'Huobi']	DigixDAO	Bitcoin
1003	DGD/ETH	['Huobi']	DigixDAO	Ethereum
1004	DGD/USD	['Synthetic']	DigixDAO	US Dollar
1005	DGTX/BTC	['Mercatox']	Digitex Futures	Bitcoin
1006	DGTX/ETH	['Mercatox']	Digitex Futures	Ethereum
1007	DGTX/USD	['Synthetic']	Digitex Futures	US Dollar
1008	DICE/ETH	['HitBTC']	Etheroll	Ethereum
1009	DICE/USD	['Synthetic']	Etheroll	US Dollar
1010	DIG/USD	['Livecoin']	Dignity	US Dollar
1011	DIME/USD	['YoBit']	Dimecoin	US Dollar
1012	DISK/USD	['Synthetic']	DarkLisk	US Dollar
1013	DIVI/BTC	['Bitrue']	Divi	Bitcoin
1014	DIVI/USD	['Synthetic']	Divi	US Dollar
1015	DIVI/XRP	['Bitrue']	Divi	XRP
1016	DLC/BTC	['YoBit']	Dollarcoin	Bitcoin
1017	DLC/USD	['Synthetic']	Dollarcoin	US Dollar
1018	DLISK/USD	['Synthetic']	DAPPSTER	US Dollar
1019	DLT/BTC	['Binance', 'YoBit']	Agrello	Bitcoin
1020	DLT/USD	['Synthetic']	Agrello	US Dollar
1021	DMB/BTC	['Crex24']	Digital Money Bits	Bitcoin
1022	DMB/USD	['Synthetic']	Digital Money Bits	US Dollar
1023	DMG/ETH	['MXC']	DMM: Governance	Ethereum
1024	DMG/USD	['MXC', 'OKEx']	DMM: Governance	US Dollar
1025	DMT/BTC	['Bittrex']	DMarket	Bitcoin
1026	DMT/USD	['Synthetic']	DMarket	US Dollar
1027	DNR/USD	['Synthetic']	Denarius	US Dollar
1028	DNT/BTC	['Binance', 'Bittrex']	district0x	Bitcoin
1029	DNT/ETH	['Gate.io', 'Mercatox']	district0x	Ethereum
1030	DNT/USD	['Synthetic']	district0x	US Dollar
1031	DNT/XRP	['Bitrue']	district0x	XRP
1032	DOCK/BTC	['Binance', 'Kucoin']	Dock	Bitcoin
1033	DOCK/ETH	['Gate.io', 'Kucoin']	Dock	Ethereum
1034	DOCK/USD	['Binance', 'Gate.io']	Dock	US Dollar
1035	DOGE/AED	['Synthetic']	Dogecoin	UAE Dirham
1036	DOGE/AUD	['Binance']	Dogecoin	Australian Dollar
1037	DOGE/BRL	['Coingecko']	Dogecoin	Brazil Real
1038	DOGE/BTC	['Binance', 'Coinbase Pro']	Dogecoin	Bitcoin
1039	DOGE/BUSD	['Binance']	Dogecoin	Binance USD
1040	DOGE/CAD	['Synthetic']	Dogecoin	Canadian Dollar
1041	DOGE/CNY	['Synthetic']	Dogecoin	Chinese Yuan
1042	DOGE/ETH	['Bittrex', 'HitBTC', 'Huobi']	Dogecoin	Ethereum
1043	DOGE/EUR	['Binance', 'Coinbase Pro', 'Kraken']	Dogecoin	Euro
1044	DOGE/INR	['Bitbns']	Dogecoin	Indian Rupee
1045	DOGE/KRW	['Bithumb', 'Upbit']	Dogecoin	Korean Won
1046	DOGE/RUB	['Binance']	Dogecoin	Russian Ruble
1047	DOGE/TRY	['Binance', 'Bitexen', 'Paribu']	Dogecoin	Turkish Lira
1048	DOGE/USD	['Binance', 'Coinbase Pro', 'Huobi', 'ZB.COM']	Dogecoin	US Dollar
1049	DOLLAR/BTC	['Livecoin']	Dollar Online	Bitcoin
1050	DOLLAR/USD	['Synthetic']	Dollar Online	US Dollar
1051	DOPE/BTC	['Mercatox']	DopeCoin	Bitcoin
1052	DOPE/USD	['Synthetic']	DopeCoin	US Dollar
1053	DOT/USD	['Binance']	Dotcoin	US Dollar
1054	DOV/BTC	['HitBTC']	Dovu	Bitcoin
1055	DOV/ETH	['HitBTC']	Dovu	Ethereum
1056	DOVU/USD	['Synthetic']	Dovu	US Dollar
1057	DP/USD	['Synthetic']	DigitalPrice	US Dollar
1058	DPY/ETH	['Gate.io']	Delphy	Ethereum
1059	DPY/USD	['Gate.io']	Delphy	US Dollar
1060	DREAM/BTC	['Liquid']	DreamTeam	Bitcoin
1061	DREAM/USD	['Synthetic']	DreamTeam	US Dollar
1062	DREP/BTC	['Binance']	DREP	Bitcoin
1063	DREP/USD	['Binance']	DREP	US Dollar
1064	DRG/BTC	['HitBTC']	Dragon Coins	Bitcoin
1065	DRG/ETH	['HitBTC']	Dragon Coins	Ethereum
1066	DRGN/BTC	['Kucoin']	Dragonchain	Bitcoin
1067	DRGN/ETH	['Gate.io', 'Kucoin']	Dragonchain	Ethereum
1068	DRGN/USD	['Gate.io']	Dragonchain	US Dollar
1069	DRG/USD	['Synthetic']	Dragon Coins	US Dollar
1070	DRM/BTC	['YoBit']	Dreamcoin	Bitcoin
1071	DRM/USD	['Synthetic']	Dreamcoin	US Dollar
1072	DROP/ETH	['BitMart']	Dropil	Ethereum
1073	DROP/USD	['Synthetic']	Dropil	US Dollar
1074	DRP/USD	['Synthetic']	DCORP	US Dollar
1075	DRS/USD	['Synthetic']	Digital Rupees	US Dollar
1076	DRT/BTC	['HitBTC', 'YoBit']	DomRaider	Bitcoin
1077	DRT/ETH	['HitBTC']	DomRaider	Ethereum
1078	DRT/USD	['HitBTC', 'Synthetic']	DomRaider	US Dollar
1079	DRXNE/USD	['Synthetic']	DROXNE	US Dollar
1080	DSR/BTC	['Mercatox']	Desire	Bitcoin
1081	DSR/USD	['Synthetic']	Desire	US Dollar
1082	DTA/BTC	['Huobi']	DATA	Bitcoin
1083	DTA/ETH	['Huobi']	DATA	Ethereum
1084	DTA/USD	['Huobi']	DATA	US Dollar
1085	DTB/USD	['Synthetic']	Databits	US Dollar
1086	DTEP/BTC	['Bitrue', 'Decoin']	DECOIN	Bitcoin
1087	DTEP/USD	['Synthetic']	DECOIN	US Dollar
1088	DUB/USD	['Synthetic']	Dubstep	US Dollar
1089	DUO/BTC	['YoBit']	ParallelCoin	Bitcoin
1090	DUO/DOGE	['YoBit']	ParallelCoin	Dogecoin
1091	DUO/ETH	['YoBit']	ParallelCoin	Ethereum
1092	DUO/USD	['Synthetic']	ParallelCoin	US Dollar
1093	DUSK/BTC	['Binance']	Dusk Network	Bitcoin
1094	DUSK/USD	['Binance', 'Gate.io']	Dusk Network	US Dollar
1095	DUTCH/USD	['Synthetic']	Dutch Coin	US Dollar
1096	DYDX/USD	['Binance']	dYdX	US Dollar
1097	DYM/USD	['Binance']	Dymension	US Dollar
1098	DYNMT/BTC	['Hotbit', 'Mercatox']	Dynamite	Bitcoin
1099	DYNMT/ETH	['Hotbit', 'Mercatox']	Dynamite	Ethereum
1100	DYNMT/USD	['Hotbit']	Dynamite	US Dollar
1101	DYN/USD	['Synthetic']	Dynamic	US Dollar
1102	EAC/BTC	['COINEGG']	EarthCoin	Bitcoin
1103	EAC/USD	['Synthetic']	EarthCoin	US Dollar
1104	EAGLE/USD	['Synthetic']	EagleCoin	US Dollar
1105	EBCH/USD	['Synthetic']	eBitcoinCash	US Dollar
1106	EBET/USD	['Synthetic']	EthBet	US Dollar
1107	EBST/BNB	['Binance DEX']	eBoost	Binance Coin
1108	EBST/USD	['Synthetic']	eBoost	US Dollar
1109	EBTC/ETH	['Mercatox']	eBitcoin	Ethereum
1110	EBTC/USD	['Synthetic']	eBitcoin	US Dollar
1111	EBT/USD	['Synthetic']	Ebittree Coin	US Dollar
1112	ECASH/BTC	['YoBit']	Ethereum Cash	Bitcoin
1113	ECASH/USD	['Synthetic']	Ethereum Cash	US Dollar
1114	ECA/USD	['Synthetic']	Electra	US Dollar
1115	ECC/BTC	['Crex24']	ECC	Bitcoin
1116	ECC/USD	['Synthetic']	ECC	US Dollar
1117	ECN/BTC	['YoBit']	E-coin	Bitcoin
1118	ECN/USD	['Synthetic']	E-coin	US Dollar
1119	ECOB/BTC	['YoBit']	Ecobit	Bitcoin
1120	ECO/BTC	['YoBit']	EcoCoin	Bitcoin
1121	ECOB/USD	['Synthetic']	Ecobit	US Dollar
1122	ECO/USD	['Synthetic']	EcoCoin	US Dollar
1123	ECTE/BTC	['p2pb2b']	EurocoinToken	Bitcoin
1124	ECTE/USD	['Synthetic']	EurocoinToken	US Dollar
1125	EDC/BTC	['Bit-Z', 'Exrates']	EDC Blockchain	Bitcoin
1126	EDC/USD	['Synthetic']	EDC Blockchain	US Dollar
1127	EDG/BTC	['Bittrex', 'HitBTC']	Edgeless	Bitcoin
1128	EDG/ETH	['HitBTC']	Edgeless	Ethereum
1129	EDG/USD	['HitBTC']	Edgeless	US Dollar
1130	EDO/BTC	['Bitfinex']	Eidoo	Bitcoin
1131	EDO/ETH	['Bitfinex']	Eidoo	Ethereum
1132	EDO/USD	['Bitfinex']	Eidoo	US Dollar
1133	EDRC/BTC	['YoBit']	EDRCoin	Bitcoin
1134	EDRC/USD	['Synthetic']	EDRCoin	US Dollar
1135	EDRL/BTC	['Hotbit']	Endor Protocol	Bitcoin
1136	EDRL/USD	['CoinTiger', 'Synthetic']	Endor Protocol	US Dollar
1137	EER/USD	['Synthetic']	Ethereum eRush	US Dollar
1138	EFI/ETH	['Gate.io']	Efinity Token	Ethereum
1139	EFI/USD	['Gate.io']	Efinity Token	US Dollar
1140	EGAS/USD	['Synthetic']	ETHGAS	US Dollar
1141	EGC/BTC	['Altilly']	EverGreenCoin	Bitcoin
1142	EGCr/USD	['PancakeSwap']	EverGrow Coin	US Dollar
1143	EGC/USD	['Synthetic']	EverGreenCoin	US Dollar
1144	EGG/USD	['Synthetic']	EggCoin	US Dollar
1145	EGLD/BNB	['Binance']	Elrond	Binance Coin
1146	EGLD/BTC	['Binance']	Elrond	Bitcoin
1147	EGLD/CAD	['Synthetic']	Elrond	Canadian Dollar
1148	EGLD/EUR	['Binance']	Elrond	Euro
1149	EGLD/INR	['Bitbns']	Elrond	Indian Rupee
1150	EGLD/USD	['Binance', 'Gate.io']	Elrond	US Dollar
1151	EGOLD/USD	['Synthetic']	eGold	US Dollar
1152	EGO/USD	['Synthetic']	EGO	US Dollar
1153	EGT/BTC	['Huobi', 'OKEx']	Egretia	Bitcoin
1154	EGT/ETH	['OKEx']	Egretia	Ethereum
1155	EGT/USD	['Huobi', 'OKEx', 'Synthetic']	Egretia	US Dollar
1156	EKT/BTC	['Huobi']	EDUCare	Bitcoin
1157	EKT/ETH	['Huobi']	EDUCare	Ethereum
1158	EKT/USD	['Huobi', 'Synthetic']	EDUCare	US Dollar
1159	ELA/BTC	['Huobi', 'Kucoin']	Elastos	Bitcoin
1160	ELA/ETH	['Huobi', 'Kucoin']	Elastos	Ethereum
1161	ELA/USD	['CoinEx', 'Huobi']	Elastos	US Dollar
1162	ELC/BTC	['YoBit']	Elacoin	Bitcoin
1163	ELC/USD	['Synthetic']	Elacoin	US Dollar
1164	ELEC/BTC	['HitBTC']	Electrify.Asia	Bitcoin
1165	ELEC/ETH	['Gate.io', 'HitBTC']	Electrify.Asia	Ethereum
1166	ELEC/USD	['Gate.io', 'HitBTC']	Electrify.Asia	US Dollar
1167	ELE/USD	['Synthetic']	Elementrem	US Dollar
1168	ELF/BTC	['Binance', 'OKEx']	aelf	Bitcoin
1169	ELF/ETH	['Binance', 'Huobi']	aelf	Ethereum
1170	ELF/USD	['Huobi', 'OKEx']	aelf	US Dollar
1171	ELITE/BTC	['YoBit']	Ethereum Lite	Bitcoin
1172	ELITE/USD	['Synthetic']	Ethereum Lite	US Dollar
1173	ELIX/USD	['Synthetic']	Elixir	US Dollar
1174	ELLA/USD	['Synthetic']	Ellaism	US Dollar
1175	ELON/USD	['Gate.io', 'Kucoin']	Dogelon Mars	US Dollar
1176	ELTC2/USD	['Synthetic']	eLTC	US Dollar
1177	ELTCOIN/ETH	['Mercatox']	ELTCOIN	Ethereum
1178	ELTCOIN/USD	['Synthetic']	ELTCOIN	US Dollar
1179	EL/USD	['Livecoin']	Elcoin	US Dollar
1180	ELYTE/USD	['Synthetic']	ETHEREUM LYTE	US Dollar
1181	EMC2/BTC	['Bittrex']	Einsteinium	Bitcoin
1182	EMC2/USD	['Synthetic']	Einsteinium	US Dollar
1183	EMD/BTC	['Graviex']	Emerald Crypto	Bitcoin
1184	EMD/USD	['Synthetic']	Emerald Crypto	US Dollar
1185	EMV/USD	['Synthetic']	Ethereum Movie Venture	US Dollar
1186	ENA/USD	['Binance']	Ethena	US Dollar
1187	ENG/BTC	['Bittrex', 'Mercatox']	Enigma	Bitcoin
1188	ENG/ETH	['Bittrex', 'Mercatox']	Enigma	Ethereum
1189	ENG/USD	['Synthetic']	Enigma	US Dollar
1190	ENJ/BRL	['Binance']	Enjin Coin	Brazil Real
1191	ENJ/BTC	['Binance', 'HitBTC']	Enjin coin	Bitcoin
1192	ENJ/CAD	['Synthetic']	Enjin Coin	Canadian Dollar
1193	ENJ/ETH	['Binance', 'Kucoin']	Enjin coin	Ethereum
1194	ENJ/INR	['Bitbns']	Enjin Coin	Indian Rupee
1195	ENJ/KRW	['Bithumb', 'Upbit']	Enjin Coin	Korean Won
1196	ENJ/TRY	['Binance']	Enjin Coin	Turkish Lira
1197	ENJ/USD	['Binance', 'HitBTC']	Enjin Coin	US Dollar
1198	ENRG/BTC	['Crex24']	Energycoin	Bitcoin
1199	ENRG/USD	['Synthetic']	Energycoin	US Dollar
1200	ENS/USD	['Binance']	Ethereum Name Service	US Dollar
1201	ENT/BTC	['YoBit']	Eternity	Bitcoin
1202	ENT/USD	['Synthetic']	Eternity	US Dollar
1203	EOS/AUD	['Synthetic']	EOS	Australian Dollar
1204	EOS/BCH	['CoinEx']	EOS	Bitcoin Cash
1205	EOS/BNB	['Binance']	EOS	Binance Coin
1206	EOS/BRL	['NovaDAX']	EOS	Brazil Real
1207	EOS/BTC	['Bibox', 'Coinbene', 'Huobi']	EOS	Bitcoin
1208	EOS/CAD	['Synthetic']	EOS	Canadian Dollar
1209	EOS/CNY	['Synthetic']	EOS	Chinese Yuan
1210	EOSDAC/BTC	['Hotbit']	eosDAC	Bitcoin
1211	EOSDAC/ETH	['Gate.io', 'Hotbit']	eosDAC	Ethereum
1212	EOSDAC/USD	['Gate.io', 'Synthetic']	eosDAC	US Dollar
1213	EOS/ETH	['Bibox', 'Binance', 'BitMart']	EOS	Ethereum
1214	EOS/EUR	['Kraken', 'Synthetic']	EOS	Euro
1215	EOS/GBP	['Bitfinex']	EOS	British Pound
1216	EOS/HKD	['Synthetic']	EOS	Hong Kong Dollar
1217	EOS/ILS	['Synthetic']	EOS	Israeli Shekel
1218	EOS/INR	['Bitbns', 'Synthetic']	EOS	Indian Rupee
1219	EOS/KRW	['Bithumb', 'Upbit']	EOS	Korean Won
1220	EOS/MXN	['Synthetic']	EOS	Mexican Peso
1221	EOS/MYR	['Synthetic']	EOS	Malaysian Ringgit
1222	EOS/PLN	['Synthetic']	EOS	Polish Zloty
1223	EOS/RUB	['Synthetic']	EOS	Russian Ruble
1224	EOS/SAR	['Synthetic']	EOS	Saudi Riyal
1225	EOS/SEK	['Synthetic']	EOS	Swedish Krona
1226	EOS/TRY	['BTCTurk', 'Paribu', 'Synthetic']	EOS	Turkish Lira
1227	EOS/USD	['Binance', 'Coinbene', 'Huobi']	EOS	US Dollar
1228	EOS/VND	['Synthetic']	EOS	Vietnamese Dong
1229	EOS/ZAR	['Synthetic']	EOS	South African Rand
1230	EPS/BTC	['Binance']	Ellipsis	Bitcoin
1231	EPS/USD	['Binance']	Ellipsis	US Dollar
1232	EPX/BUSD	['Binance']	Ellipsis X	Binance USD
1233	EPX/USD	['Binance']	Ellipsis X	US Dollar
1234	EPY/USD	['Synthetic']	Emphy	US Dollar
1235	EQT/BTC	['YoBit']	EquiTrader	Bitcoin
1236	ERC20/ETH	['Mercatox']	ERC20	Ethereum
1237	ERC20/USD	['Synthetic']	ERC20	US Dollar
1238	ERC/BTC	['Crex24']	EuropeCoin	Bitcoin
1239	ERC/USD	['Synthetic']	EuropeCoin	US Dollar
1240	ERG/BTC	['Kucoin']	Ergo	Bitcoin
1241	ERG/ETH	['Gate.io']	Ergo	Ethereum
1242	ERG/USD	['Gate.io', 'Kucoin']	Ergo	US Dollar
1243	ERN/USD	['Binance']	Ethernity	US Dollar
1244	ERY/USD	['Synthetic']	Eryllium	US Dollar
1245	ESP/ETH	['Livecoin']	Espers	Ethereum
1246	ESP/USD	['Synthetic']	Espers	US Dollar
1247	ESS/BTC	['Hotbit']	Essentia	Bitcoin
1248	ESS/ETH	['Hotbit']	Essentia	Ethereum
1249	ESS/USD	['Synthetic']	Essentia	US Dollar
1250	ETA/USD	['Synthetic']	Etheera	US Dollar
1251	ETBS/USD	['Synthetic']	Ethbits	US Dollar
1252	ETC/AUD	['BTC Markets', 'Synthetic']	Ethereum Classic	Australian Dollar
1253	ETC/BCH	['CoinEx']	Ethereum Classic	Bitcoin Cash
1254	ETC/BNB	['Binance']	Ethereum Classic	Binance Coin
1255	ETC/BRL	['Binance', 'NovaDAX']	Ethereum Classic	Brazil Real
1256	ETC/BTC	['Bibox', 'Binance', 'Huobi']	Ethereum Classic	Bitcoin
1257	ETC/CAD	['Synthetic']	Ethereum Classic	Canadian Dollar
1258	ETC/CNY	['Synthetic']	Ethereum Classic	Chinese Yuan
1259	ETC/ETH	['Bibox', 'Binance']	Ethereum Classic	Ethereum
1260	ETC/EUR	['Coinbase Pro', 'Kraken']	Ethereum Classic	Euro
1261	ETC/GBP	['Coinbase Pro']	Ethereum Classic	British Pound
1262	ETC/HKD	['Synthetic']	Ethereum Classic	Hong Kong Dollar
1263	ETC/IDR	['BTC Indonesia']	Ethereum Classic	Indonesian Rupiah
1264	ETC/ILS	['Synthetic']	Ethereum Classic	Israeli Shekel
1265	ETC/INR	['Synthetic']	Ethereum Classic	Indian Rupee
1266	ETC/JPY	['Synthetic']	Ethereum Classic	Japanese Yen
1267	ETC/KRW	['Bithumb', 'Upbit']	Ethereum Classic	Korean Won
1268	ETC/MXN	['Synthetic']	Ethereum Classic	Mexican Peso
1269	ETC/MYR	['Synthetic']	Ethereum Classic	Malaysian Ringgit
1270	ETC/PLN	['Synthetic']	Ethereum Classic	Polish Zloty
1271	ETC/RUB	['Exmo', 'Synthetic']	Ethereum Classic	Russian Ruble
1272	ETC/SAR	['Synthetic']	Ethereum Classic	Saudi Riyal
1273	ETC/SEK	['Synthetic']	Ethereum Classic	Swedish Krona
1274	ETC/TRY	['Synthetic']	Ethereum Classic	Turkish Lira
1275	ETC/USD	['Binance', 'Coinbene', 'Gate.io']	Ethereum Classic	US Dollar
1276	ETC/VND	['Synthetic']	Ethereum Classic	Vietnamese Dong
1277	ETC/ZAR	['Synthetic']	Ethereum Classic	South African Rand
1278	ETH/AUD	['Binance', 'BTC Markets']	Ethereum	Australian Dollar
1279	ETH/BRL	['MercadoBitcoin', 'NovaDAX']	Ethereum	Brazil Real
1280	ETH/BTC	['Binance', 'Coinbene', 'Huobi', 'Poloniex', 'TOKOK']	Ethereum	Bitcoin
1281	ETH/CAD	['CoinField', 'Kraken']	Ethereum	Canadian Dollar
1282	ETH/CNY	['Synthetic']	Ethereum	Chinese Yuan
1283	ETH/DAI	['HitBTC']	Ethereum	Dai
1284	ETHD/USD	['Synthetic']	Ethereum Dark	US Dollar
1285	ETH/EUR	['Binance', 'BitStamp', 'Coinbase Pro', 'Kraken']	Ethereum	Euro
1286	ETHFI/USD	['Binance']	ether.fi	US Dollar
1287	ETH/GBP	['Binance', 'Bitfinex', 'Coinbase Pro']	Ethereum	British Pound
1288	ETH/HKD	['QUOINE']	Ethereum	Hong Kong Dollar
1289	ETH/IDR	['BTC Indonesia', 'Luno']	Ethereum	Indonesian Rupiah
1290	ETH/ILS	['Synthetic']	Ethereum	Israeli Shekel
1291	ETH/INR	['Bitbns', 'Synthetic']	Ethereum	Indian Rupee
1292	ETH/JPY	['Bitfinex', 'QUOINE', 'Zaif']	Ethereum	Japanese Yen
1293	ETH/KRW	['Bithumb', 'Coinone', 'Upbit']	Ethereum	Korean Won
1294	ETH/LTC	['Exmo']	Ethereum	Litecoin
1295	ETHM/USD	['Synthetic']	Ethereum Meta	US Dollar
1296	ETH/MXN	['Bitso', 'Synthetic']	Ethereum	Mexican Peso
1297	ETH/MYR	['Luno', 'Synthetic']	Ethereum	Malaysian Ringgit
1298	ETH/NGN	['Luno']	Ethereum	Nigerian Naira
1299	ETH/PLN	['BitBay', 'Exmo']	Ethereum	Polish Zloty
1300	ETH/RUB	['Exmo']	Ethereum	Russian Ruble
1301	ETH/SAR	['Synthetic']	Ethereum	Saudi Riyal
1302	ETH/SEK	['Synthetic']	Ethereum	Swedish Krona
1303	ETH/SGD	['QUOINE']	Ethereum	Singapore Dollar
1304	ETH/THB	['Bitkub', 'Satang Pro']	Ethereum	Thai Baht
1305	ETH/TRY	['Bitexen', 'BTCTurk', 'Paribu']	Ethereum	Turkish Lira
1306	ETH/UAH	['Exmo']	Ethereum	Ukrainian Hryvnia
1307	ETH/USD	['Binance', 'Bitfinex', 'Huobi', 'IDCM']	Ethereum	US Dollar
1308	ETH/VND	['Synthetic']	Ethereum	Vietnamese Dong
1309	ETH/XAU	['Synthetic']	Ethereum	Gold Spot
1310	ETH/XRP	['CoinField']	Ethereum	XRP
1311	ETH/ZAR	['Luno', 'Synthetic']	Ethereum	South African Rand
1312	ETN/BTC	['Huobi', 'Kucoin']	Electroneum	Bitcoin
1313	ETN/ETH	['Huobi', 'Kucoin']	Electroneum	Ethereum
1314	ETN/EUR	['Liquid']	Electroneum	Euro
1315	ETN/USD	['HitBTC']	Electroneum	US Dollar
1316	ETP/BTC	['Bitfinex', 'HitBTC']	Metaverse ETP	Bitcoin
1317	ETP/ETH	['Bitfinex']	Metaverse ETP	Ethereum
1318	ETP/USD	['Bitfinex', 'HitBTC']	Metaverse ETP	US Dollar
1319	ETT/BTC	['Livecoin']	EncryptoTel [WAVES]	Bitcoin
1320	ETT/USD	['Synthetic']	EncryptoTel [WAVES]	US Dollar
1321	EUC/USD	['Synthetic']	Eurocoin	US Dollar
1322	EUL/USD	['Gate.io']	Euler	US Dollar
1323	EURC/USD	['Coinbase Pro']	EURC	US Dollar
1324	EURE/USD	['Uniswap']	Monerium EUR emoney	US Dollar
1325	EURS/USD	['Ethfinex', 'HitBTC']	STASIS EURO	US Dollar
1326	EUSD/USD	['Synthetic']	eUSD	US Dollar
1327	EVC/ETH	['Mercatox']	EventChain	Ethereum
1328	EVC/USD	['Synthetic']	EventChain	US Dollar
1329	EVIL/BTC	['YoBit']	Evil Coin	Bitcoin
1330	EVIL/USD	['Synthetic']	Evil Coin	US Dollar
1331	EVNN/BTC	['Hotbit', 'Mercatox']	EvenCoin	Bitcoin
1332	EVNN/ETH	['Hotbit', 'Mercatox']	EvenCoin	Ethereum
1333	EVNN/USD	['Synthetic']	EvenCoin	US Dollar
1334	EVO/BTC	['YoBit']	Evotion	Bitcoin
1335	EVO/USD	['Synthetic']	Evotion	US Dollar
1336	EVX/BTC	['Binance', 'Huobi', 'Mercatox']	Everex	Bitcoin
1337	EVX/ETH	['HitBTC', 'Huobi']	Everex	Ethereum
1338	EVX/USD	['HitBTC']	Everex	US Dollar
1339	EWT/BTC	['Kucoin']	Energy Web Token	Bitcoin
1340	EWT/USD	['Kraken', 'Kucoin']	Energy Web Token	US Dollar
1341	EXCL/BTC	['Bittrex']	ExclusiveCoin	Bitcoin
1342	EXCL/USD	['Synthetic']	ExclusiveCoin	US Dollar
1343	EXC/USD	['Synthetic']	Eximchain	US Dollar
1344	EXMR/USD	['Synthetic']	EXMR	US Dollar
1345	EXN/USD	['Synthetic']	ExchangeN	US Dollar
1346	EXP/BTC	['Bittrex', 'YoBit']	Expanse	Bitcoin
1347	EXP/USD	['Synthetic']	Expanse	US Dollar
1348	EXRN/ETH	['Hotbit']	EXRNchain	Ethereum
1349	EXRN/USD	['Synthetic']	EXRNchain	US Dollar
1350	FAIR/USD	['Synthetic']	FairCoin	US Dollar
1351	FAP/USD	['Synthetic']	FAPcoin	US Dollar
1352	FAZZ/BTC	['YoBit']	Fazzcoin	Bitcoin
1353	FAZZ/USD	['Synthetic']	Fazzcoin	US Dollar
1354	FBTC/USD	['Uniswap']	Ignition	US Dollar
1355	FCN/USD	['Synthetic']	Fantomcoin	US Dollar
1356	FCT/BTC	['Bittrex']	Factom	Bitcoin
1357	FCT/USD	['Synthetic']	Factom	US Dollar
1358	FC/USD	['Synthetic']	Facecoin	US Dollar
1359	FDUSD/USD	['Binance']	First Digital USD	US Dollar
1360	FDZ/BTC	['HitBTC', 'Mercatox']	Friendz	Bitcoin
1361	FDZ/ETH	['HitBTC', 'Mercatox']	Friendz	Ethereum
1362	FDZ/USD	['Synthetic']	Friendz	US Dollar
1363	FEI/ETH	['Gate.io']	Fei USD	Ethereum
1364	FEI/USD	['Gate.io']	Fei USD	US Dollar
1365	FET/BNB	['Binance']	Fetch	Binance Coin
1366	FET/BTC	['Binance', 'Kucoin']	Fetch	Bitcoin
1367	FET/ETH	['Kucoin']	Fetch	Ethereum
1368	FET/USD	['Binance', 'BitMax']	Fetch	US Dollar
1369	FFC/USD	['Synthetic']	FireFlyCoin	US Dollar
1370	FIDYO/USD	['Synthetic']	Fidyo	US Dollar
1371	FIDYO/WAVES	['Waves Decentralized Exchange']	Fidyo	Waves
1372	FIL/BTC	['Binance', 'Coinbase Pro']	Filecoin	Bitcoin
1373	FIL/CAD	['Synthetic']	Filecoin	Canadian Dollar
1374	FIL/EUR	['Coinbase Pro', 'Kraken']	Filecoin	Euro
1375	FIL/INR	['Bitbns']	Filecoin	Indian Rupee
1376	FIL/USD	['Binance', 'Gate.io']	Filecoin	US Dollar
1377	FINE/USD	['Gate.io']	Refinable	US Dollar
1378	FIO/BNB	['Binance']	FIO Protocol	Binance Coin
1379	FIO/BTC	['Binance']	FIO Protocol	Bitcoin
1380	FIO/USD	['BitMax']	FIO Protocol	US Dollar
1381	FIRE/BTC	['YoBit']	Firecoin	Bitcoin
1382	FIRE/USD	['Synthetic']	Firecoin	US Dollar
1383	FIRO/BTC	['Binance', 'Huobi']	Firo	Bitcoin
1384	FIRO/ETH	['Binance', 'Huobi']	Firo	Ethereum
